n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
14,1,5,3,2,43,0.9453344345092773,364,0.09657001495361328,28,0.21229910850524902
14,2,5,4,2,41,0.9825937747955322,291,0.08412694931030273,17,0.07174134254455566
14,3,5,5,2,77,1.6071827411651611,1036,0.2600517272949219,115,2.333753824234009
14,4,5,6,2,50,1.3789739608764648,448,0.13848114013671875,34,0.9099373817443848
14,5,5,7,2,52,1.3946208953857422,450,0.12000608444213867,14,0.5409188270568848
14,6,5,8,2,122,3.3486034870147705,2070,0.6867935657501221,66,5.414103984832764
14,7,5,9,2,56,1.6424736976623535,629,0.14479708671569824,108,4.780428647994995
14,8,5,10,2,82,2.1931798458099365,997,0.373424768447876,252,8.378109216690063
15,1,5,3,2,36,0.9583168029785156,218,0.06781506538391113,4,0.08971738815307617
15,2,5,4,2,50,1.2170937061309814,468,0.15665793418884277,18,0.47692179679870605
15,3,5,5,2,53,1.2711575031280518,567,0.1379845142364502,74,3.1726250648498535
15,4,5,6,2,103,2.1373980045318604,1716,0.4631683826446533,814,18.58585238456726
15,5,5,7,2,105,2.3500988483428955,1740,0.5052738189697266,456,15.24521517753601
15,6,5,8,2,52,1.601973533630371,538,0.14753007888793945,12,0.28591036796569824
15,7,5,9,2,56,1.8032903671264648,486,0.14943432807922363,11,0.22885894775390625
15,8,5,10,2,74,2.158139228820801,812,0.20818734169006348,167,4.606384992599487
16,1,5,3,2,46,1.0607991218566895,428,0.11755919456481934,50,0.5159149169921875
16,2,5,4,2,45,1.1096763610839844,365,0.09883785247802734,24,0.43382716178894043
16,3,5,5,2,47,1.245392084121704,268,0.08445167541503906,16,0.453261137008667
16,4,5,6,2,92,1.9091808795928955,1472,0.36940908432006836,1104,56.70416617393494
16,5,5,7,2,39,1.268728494644165,271,0.08120989799499512,13,0.13854670524597168
16,6,5,8,2,55,1.621605634689331,504,0.13501358032226562,26,0.3540019989013672
16,7,5,9,2,48,1.5237534046173096,400,0.12752413749694824,16,0.2274458408355713
16,8,5,10,2,49,1.8752062320709229,383,0.1183919906616211,18,0.26993393898010254
17,1,5,3,2,38,0.9717385768890381,227,0.0708768367767334,12,0.06816887855529785
17,2,5,4,2,59,1.353884220123291,491,0.12763166427612305,90,0.3847196102142334
17,3,5,5,2,42,1.1256256103515625,330,0.09376692771911621,22,0.09166741371154785
17,4,5,6,2,60,1.5810790061950684,780,0.24547147750854492,52,1.285520076751709
17,5,5,7,2,85,2.0034873485565186,898,0.2215590476989746,314,7.921507835388184
17,6,5,8,2,85,2.1780269145965576,1197,0.3892521858215332,128,13.682881116867065
17,7,5,9,2,139,3.3237144947052,3840,0.9793312549591064,3565,484.5419819355011
17,8,5,10,2,82,2.4700679779052734,733,0.19771552085876465,134,6.0202014446258545
18,1,5,3,2,45,1.0697619915008545,392,0.12267732620239258,31,0.17195892333984375
18,2,5,4,2,45,1.1490671634674072,390,0.10851573944091797,53,1.0282602310180664
18,3,5,5,2,41,1.0898430347442627,306,0.08578896522521973,8,0.4950087070465088
18,4,5,6,2,47,1.3396270275115967,266,0.08408546447753906,45,0.34144043922424316
18,5,5,7,2,45,1.2980029582977295,301,0.09832191467285156,6,0.2498629093170166
18,6,5,8,2,105,2.4258761405944824,1753,0.4830293655395508,1206,146.9596266746521
