n_sample,n_network,n_rdds,n_variables,n_coupling_signals,n_rdda_attractors,t_find_attractors_method,n_pair_attractors,t_comp_paris_method,n_attractor_fields,t_optimized_method
35,2,5,6,2,57,1.161003828048706,584,0.14889812469482422,30,0.6934118270874023
35,3,5,7,2,77,1.3844854831695557,1102,0.24676871299743652,100,14.895366191864014
35,4,5,8,2,67,1.6962292194366455,669,0.1738431453704834,44,3.3273401260375977
35,5,5,9,2,92,1.918837547302246,988,0.2619926929473877,192,7.370429039001465
35,6,5,10,2,72,1.9115145206451416,814,0.24141383171081543,6,0.3196828365325928
36,1,5,5,2,44,0.8482587337493896,343,0.13343358039855957,10,0.11183476448059082
36,2,5,6,2,54,1.0899043083190918,550,0.134110689163208,31,0.9725902080535889
36,3,5,7,2,65,1.2798960208892822,768,0.16739249229431152,162,3.2628674507141113
36,4,5,8,2,60,1.348015308380127,646,0.13866782188415527,114,0.5706360340118408
36,5,5,9,2,80,1.8633613586425781,1136,0.30171704292297363,149,4.04409122467041
36,6,5,10,2,54,1.559638261795044,442,0.12122511863708496,14,0.7546398639678955
37,1,5,5,2,36,0.7710964679718018,202,0.0589754581451416,7,0.1226816177368164
37,2,5,6,2,57,1.0990660190582275,577,0.13105177879333496,236,1.825568675994873
37,3,5,7,2,55,1.3885753154754639,460,0.14514780044555664,49,0.1499195098876953
37,4,5,8,2,57,1.1864771842956543,609,0.14858746528625488,42,1.2882590293884277
37,5,5,9,2,49,1.3290531635284424,384,0.10323119163513184,16,0.3556704521179199
37,6,5,10,2,75,1.670670986175537,884,0.25331616401672363,174,12.072060823440552
38,1,5,5,2,63,1.077392578125,532,0.12728285789489746,24,1.6086599826812744
38,2,5,6,2,53,1.182070255279541,442,0.11694192886352539,20,0.3368666172027588
38,3,5,7,2,35,0.8998782634735107,233,0.061567068099975586,10,0.09756255149841309
38,4,5,8,2,74,1.4997549057006836,1052,0.23836040496826172,241,10.382979393005371
38,5,5,9,2,48,1.2698452472686768,338,0.08405828475952148,12,0.705237627029419
38,6,5,10,2,69,1.6399242877960205,881,0.2408919334411621,78,5.791499614715576
39,1,5,5,2,50,0.9839351177215576,484,0.10404253005981445,58,0.20588254928588867
39,2,5,6,2,43,0.9599745273590088,302,0.07789802551269531,10,0.20782780647277832
39,3,5,7,2,76,1.493190050125122,1026,0.22429490089416504,432,10.451894760131836
39,4,5,8,2,46,1.3940529823303223,357,0.09898495674133301,10,0.20119285583496094
39,5,5,9,2,103,2.180751323699951,1670,0.34641385078430176,692,21.42841625213623
39,6,5,10,2,100,2.7168688774108887,1287,0.3271362781524658,132,9.945215940475464
40,1,5,5,2,69,1.3581786155700684,763,0.17658734321594238,128,1.2135968208312988
40,2,5,6,2,82,1.3535654544830322,1412,0.29781055450439453,189,2.5274906158447266
40,3,5,7,2,46,1.1390748023986816,377,0.08885860443115234,20,0.07813668251037598
40,4,5,8,2,69,1.6405794620513916,725,0.1781313419342041,44,0.26085638999938965
40,5,5,9,2,60,1.488584041595459,576,0.1629180908203125,17,2.536104917526245
40,6,5,10,2,65,1.6668133735656738,620,0.15088486671447754,71,1.4786908626556396
41,1,5,5,2,55,0.9910516738891602,582,0.11708474159240723,176,0.8418464660644531
41,2,5,6,2,61,1.1003661155700684,657,0.14510750770568848,66,4.547857284545898
41,3,5,7,2,52,1.1349937915802002,460,0.11581945419311523,5,0.830103874206543
41,4,5,8,2,41,1.1744716167449951,274,0.06647086143493652,7,0.07315826416015625
41,5,5,9,2,71,1.7501163482666016,955,0.19066452980041504,328,6.356369733810425
41,6,5,10,2,104,2.4805448055267334,2175,0.5484437942504883,420,69.90943789482117
42,1,5,5,2,54,1.0851178169250488,602,0.13170433044433594,20,0.6292109489440918
42,2,5,6,2,43,0.9598512649536133,276,0.06895565986633301,7,0.1131737232208252
